"Prisijungimo vardas";"Paskyra aktyvi";"ID";"Rodomas vardas";"Vardas";"Pavardė";"Pareigos";"Klasė";"Organizacija";"Biuras";"Miestas";"Šalis";"Darbuotojo ID";"Darbuotojo tipas";"Šaltinis";"Veiksmai";"MR_Pavardė_vardas";"MR_Gimimo_data";"MR_Lytis";"MR_Bylos Nr.";"MR_Klasė"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MR";"Sukurti";"PIRMOKAITĖ VERENA";"2017-01-01";"moteris";"P-1";"1a"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MR";"Sukurti";"PIRMAITIS EGIDIJUS";"2017-02-02";"vyras";"P-2";"1a"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MR";"Sukurti";"PIRMICKAS GYTAUTAS DAUGIAVARDIS";"2017-03-03";"vyras";"P-3";"1b"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MR";"Sukurti";"PIRMINAITĖ BURVILĖ";"2017-04-04";"moteris";"P-4";"1b"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MR";"Sukurti";"ANTRAITIS PROTENIS";"2016-05-05";"vyras";"A-1";"2a"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MR";"Sukurti";"ANTROKAITĖ INGRIDA DVIVARDĖ";"2016-06-06";"moteris";"A-2";"2a"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MR";"Sukurti";"ANTRŪNAS STEPONAS";"2016-07-07";"vyras";"A-3";"2b"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MR";"Sukurti";"ANTRINAITĖ VILGAUDĖ";"2016-08-08";"moteris";"A-4";"2b"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MR";"Sukurti";"TREČIOKAITĖ BERTA";"2015-01-02";"moteris";"T-1";"3a"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MR";"Sukurti";"TREČIAITIS GRIGALIUS";"2015-02-03";"vyras";"T-2";"3a"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MR";"Sukurti";"TRETICKAS SIRTAUTAS";"2015-03-04";"vyras";"T-3";"3b"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MR";"Sukurti";"TRETMINAITĖ MIRGA";"2015-04-05";"moteris";"T-4";"3b"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MR";"Sukurti";"KETVIRTAITIS GIRSTAUTAS";"2014-05-06";"vyras";"K-1";"4a"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MR";"Sukurti";"KETVIRTOKAITĖ GERMINA";"2014-06-07";"moteris";"K-2";"4a"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MR";"Sukurti";"KETVIRTICKAS GERMANTAS";"2014-07-08";"vyras";"K-3";"4b"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MR";"Sukurti";"KETVIRTINAITĖ ROZALIJA";"2014-08-09";"moteris";"K-4";"4b"
